Date of Stop,Personal Injuries
10/20/15,18
10/21/15,23
10/22/15,15
10/23/15,18
10/24/15,10
10/25/15,8
10/26/15,8
10/27/15,22
10/28/15,3
10/29/15,1
10/30/15,12
10/31/15,5
11/1/15,6
11/2/15,8
11/3/15,11
11/4/15,9
11/5/15,11
11/6/15,12
11/7/15,4
11/8/15,4
11/9/15,7
11/10/15,10
11/11/15,4
11/12/15,11
11/13/15,18
11/14/15,17
11/15/15,19
11/16/15,22
11/17/15,19
11/18/15,14
11/19/15,15
11/20/15,11
11/21/15,6
11/22/15,11
11/23/15,11
11/24/15,15
11/25/15,19
11/26/15,13
11/27/15,12
11/28/15,13
11/29/15,9
11/30/15,12
12/1/15,16
12/2/15,22
12/3/15,14
12/4/15,14
12/5/15,4
12/6/15,12
12/7/15,25
12/8/15,29
12/9/15,7
12/10/15,6
12/11/15,7
12/12/15,10
12/13/15,14
12/14/15,7
12/15/15,5
12/16/15,9
12/17/15,9
12/18/15,12
12/19/15,26
12/20/15,26
12/21/15,12
12/22/15,11
12/23/15,4
12/24/15,9
12/25/15,6
12/26/15,8
12/27/15,12
12/28/15,15
12/29/15,16
12/30/15,36
12/31/15,27
1/1/16,14
1/2/16,15
1/3/16,10
1/4/16,10
1/5/16,17
1/6/16,25
1/7/16,21
1/8/16,13
1/9/16,11
1/10/16,12
1/11/16,9
1/12/16,13
1/13/16,13
1/14/16,18
1/15/16,31
1/16/16,19
1/17/16,13
1/18/16,10
1/19/16,17
1/20/16,12
1/21/16,17
1/22/16,6
1/24/16,2
1/25/16,2
1/26/16,4
1/27/16,9
1/28/16,13
1/29/16,15
1/30/16,11
1/31/16,14
2/1/16,12
2/2/16,14
2/3/16,12
2/4/16,18
2/5/16,12
2/6/16,10
2/7/16,11
2/8/16,10
2/9/16,12
2/10/16,13
2/11/16,10
2/12/16,20
2/13/16,12
2/14/16,8
2/15/16,7
2/16/16,23
2/17/16,36
2/18/16,27
2/19/16,16
2/20/16,23
2/21/16,19
2/22/16,30
2/23/16,15
2/24/16,17
2/25/16,23
2/26/16,18
2/27/16,12
2/28/16,5
2/29/16,7
3/1/16,18
3/2/16,6
3/3/16,21
3/4/16,16
3/5/16,6
3/6/16,18
3/7/16,31
3/8/16,40
3/9/16,29
3/10/16,27
3/11/16,18
3/12/16,14
3/13/16,7
3/14/16,10
3/15/16,26
3/16/16,28
3/17/16,18
3/18/16,14
3/19/16,12
3/20/16,18
3/21/16,22
3/22/16,39
3/23/16,24
3/24/16,18
3/25/16,13
3/26/16,14
3/27/16,12
3/28/16,14
3/29/16,44
3/30/16,36
3/31/16,29
4/1/16,10
4/2/16,8
4/3/16,13
4/4/16,15
4/5/16,18
4/6/16,13
4/7/16,11
4/8/16,17
4/9/16,19
4/10/16,13
4/11/16,10
4/12/16,7
4/13/16,12
4/14/16,19
4/15/16,23
4/16/16,17
4/17/16,17
4/18/16,20
4/19/16,20
4/20/16,17
4/21/16,14
4/22/16,24
4/23/16,9
4/24/16,14
4/25/16,13
4/26/16,14
4/27/16,11
4/28/16,6
4/29/16,9
4/30/16,5
5/1/16,9
5/2/16,12
5/3/16,13
5/4/16,11
5/5/16,12
5/6/16,2
5/7/16,11
5/8/16,10
5/9/16,13
5/10/16,20
5/11/16,11
5/12/16,13
5/13/16,8
5/14/16,14
5/15/16,14
5/16/16,17
5/17/16,10
5/18/16,21
5/19/16,28
5/20/16,34
5/21/16,14
5/22/16,10
5/23/16,17
5/24/16,18
5/25/16,19
5/26/16,13
5/27/16,26
5/28/16,21
5/29/16,5
5/30/16,21
5/31/16,26
6/1/16,26
6/2/16,17
6/3/16,19
6/4/16,8
6/5/16,4
6/6/16,7
6/7/16,17
6/8/16,16
6/9/16,24
6/10/16,21
6/11/16,17
6/12/16,9
6/13/16,19
6/14/16,28
6/15/16,27
6/16/16,21
6/17/16,17
6/18/16,8
6/19/16,6
6/20/16,10
6/21/16,18
6/22/16,17
6/23/16,17
6/24/16,11
6/25/16,14
6/26/16,15
6/27/16,23
6/28/16,12
6/29/16,14
6/30/16,14
7/1/16,8
7/2/16,11
7/3/16,12
7/4/16,9
7/5/16,17
7/6/16,21
7/7/16,22
7/8/16,14
7/9/16,9
7/10/16,13
7/11/16,11
7/12/16,14
7/13/16,16
7/14/16,13
7/15/16,14
7/16/16,7
7/17/16,5
7/18/16,9
7/19/16,17
7/20/16,9
7/21/16,2
7/22/16,9
7/23/16,6
7/24/16,3
7/25/16,10
7/26/16,17
7/27/16,14
7/28/16,10
7/29/16,15
7/30/16,9
7/31/16,2
8/1/16,11
8/2/16,9
8/3/16,15
8/4/16,21
8/5/16,13
8/6/16,15
8/7/16,15
8/8/16,11
8/9/16,21
8/10/16,21
8/11/16,12
8/12/16,11
8/13/16,6
8/14/16,6
8/15/16,5
8/16/16,17
8/17/16,11
8/18/16,9
8/19/16,11
8/20/16,5
8/21/16,6
8/22/16,11
8/23/16,17
8/24/16,13
8/25/16,12
8/26/16,27
8/27/16,14
8/28/16,11
8/29/16,18
8/30/16,29
8/31/16,25
9/1/16,11
9/2/16,16
9/3/16,11
9/4/16,9
9/5/16,10
9/6/16,17
9/7/16,11
9/8/16,15
9/9/16,14
9/10/16,13
9/11/16,3
9/12/16,13
9/13/16,11
9/14/16,10
9/15/16,13
9/16/16,11
9/17/16,5
9/18/16,13
9/19/16,10
9/20/16,22
9/21/16,25
9/22/16,14
9/23/16,11
9/24/16,12
9/25/16,13
9/26/16,13
9/27/16,13
9/28/16,8
9/29/16,4
9/30/16,9
10/1/16,2
10/2/16,11
10/3/16,13
10/4/16,18
